¿Qué es el aprendizaje supervisado (supervised learning)?;Es un enfoque donde el modelo aprende la relación entre entradas (features) y salidas (labels) usando ejemplos etiquetados para poder generalizar a nuevos datos.
¿Cuál es el objetivo principal del aprendizaje supervisado?;Aprender automáticamente la función que relaciona entradas con salidas para realizar predicciones futuras.
¿Qué diferencia fundamental existe entre regresión y clasificación?;La regresión predice valores numéricos continuos y la clasificación asigna categorías discretas.
En un problema de regresión, ¿qué tipo de variable es la variable respuesta?;Es cuantitativa y continua.
En un problema de clasificación, ¿qué característica debe tener la variable respuesta?;Debe ser categórica con al menos dos clases.
¿Qué ocurre en la fase de entrenamiento (training phase)?;El modelo ajusta sus parámetros usando el conjunto de entrenamiento para aprender patrones.
¿Para qué se usa el conjunto de test?;Para evaluar el rendimiento del modelo en datos no vistos.
¿Por qué un error bajo en entrenamiento no garantiza bajo error en test?;Porque el modelo puede haber memorizado los datos (overfitting) sin generalizar.
¿En qué consiste el método hold-out?;En dividir el dataset en un conjunto de entrenamiento y otro de test.
¿Qué es k-fold cross-validation?;Es un método donde los datos se dividen en k particiones iguales y el modelo se entrena k veces usando cada partición como validación una vez.
¿Qué es el overfitting?;Es cuando el modelo se ajusta demasiado al entrenamiento y pierde capacidad de generalización.
¿Qué significa que un modelo generaliza?;Que mantiene buen rendimiento en datos nuevos no vistos.
¿Por qué no debemos ajustar hiperparámetros con el conjunto de test?;Porque contaminaríamos la evaluación final y obtendríamos una estimación optimista irreal.
Una empresa predice precios de viviendas. ¿Regresión o clasificación?;Regresión, porque el precio es un valor numérico continuo.
Un banco detecta fraude en transacciones. ¿Regresión o clasificación?;Clasificación binaria.
¿Cuál es la ventaja principal de k-fold frente a hold-out?;Reduce la varianza de la evaluación y usa mejor los datos.
¿Qué problema puede indicar que el modelo tiene 99% accuracy en train y 60% en test?;Overfitting.
¿Por qué el overfitting es peligroso en diagnóstico médico?;Porque puede fallar en pacientes reales pese a rendir bien en datos históricos.
¿Qué ocurre si el conjunto de test se usa repetidamente para ajustar el modelo?;Se convierte indirectamente en parte del entrenamiento y deja de medir generalización real.
¿Qué relación conceptual existe entre overfitting y la metáfora de memorizar un examen?;Memorizar respuestas exactas equivale a aprender ruido en lugar de patrones generales.
Si un modelo tiene bajo error en train y alto error en test, ¿qué tipo de problema refleja?;Alta varianza (overfitting).
