¿Por qué un buen sistema de traducción automática no puede traducir palabra por palabra?;Intuición: Porque el significado depende del contexto y de diferencias entre lenguas. Técnica: Existen divergencias léxicas y estructurales que impiden una traducción directa palabra a palabra.
¿Qué es la divergencia léxica en MT?;Intuición: Cuando palabras aparentemente equivalentes no significan exactamente lo mismo entre lenguas. Técnica: Diferencias de significado entre lenguas para términos que parecen equivalentes.
¿Qué es el teacher forcing en un modelo encoder-decoder?;Intuición: Durante el entrenamiento se le da la respuesta correcta previa en lugar de su propia predicción. Técnica: En cada paso t del decoder se usa la palabra real en t-1 para calcular la función de coste y evitar acumulación de errores.
¿Por qué el teacher forcing estabiliza el entrenamiento?;Intuición: Evita que errores tempranos se propaguen. Técnica: Reduce la degradación acumulativa de las predicciones en el decoder.
¿Cuál es la diferencia entre causal self-attention y cross-attention en el decoder?;Intuición: Una mira lo ya generado, la otra mira lo codificado por el encoder. Técnica: La causal self-attention opera sobre la secuencia generada; la cross-attention incorpora el contexto del encoder.
¿Por qué un modelo de autocompletado debe ser causal?;Intuición: Porque no puede ver el futuro. Técnica: Solo puede usar información previa de la secuencia.
¿Cómo funciona un análisis de sentimientos no supervisado basado en lexicón?;Intuición: Se suman o agregan los sentimientos de las palabras. Técnica: Se asigna el sentimiento global aplicando reglas sobre los valores léxicos sin entrenamiento supervisado.
¿Qué caracteriza una factoid question?;Intuición: Tiene una respuesta concreta y objetiva. Técnica: Busca un dato específico verificable.
¿Para qué sirve un índice invertido en IR?;Intuición: Para encontrar rápidamente documentos relevantes. Técnica: Permite recuperar documentos que contienen términos de la consulta y calcular similitud solo sobre ellos.
¿Cómo funciona un sistema de QA factoid basado en IR?;Intuición: Primero busca documentos, luego extrae la respuesta. Técnica: Sistema en dos etapas: recuperación de documentos y extracción del fragmento respuesta.
¿Por qué en QA se usan ventanas sobre documentos largos?;Intuición: Porque el modelo tiene límite de entrada. Técnica: Debido a restricciones de longitud del modelo.
¿Por qué el ASR puede combinarse con un modelo de lenguaje?;Intuición: El modelo de lenguaje ayuda a elegir secuencias más plausibles. Técnica: El problema es causal y el LM mejora la probabilidad de secuencias coherentes.
¿Qué tipo de entrada recibe un sistema ASR?;Intuición: Audio convertido en características numéricas. Técnica: Rasgos acústicos derivados de la señal de audio.
¿Qué produce típicamente el decoder en un sistema moderno de TTS?;Intuición: Una representación intermedia del sonido. Técnica: Un espectrograma que luego es convertido en señal acústica mediante un vocoder.
¿Por qué la salida del decoder en TTS no es directamente la señal final?;Intuición: Falta la etapa de conversión a onda sonora. Técnica: Se requiere un vocoder para transformar el espectrograma en señal acústica.
¿Qué ventaja tiene un sistema QA que detecta ausencia de respuesta?;Intuición: Puede decir que no hay información suficiente. Técnica: Incluye mecanismos para detectar que ningún documento contiene respuesta.
Trampa frecuente: ¿Teacher forcing se usa en inferencia?;Intuición: No, solo en entrenamiento. Técnica: Durante inferencia el modelo usa sus propias predicciones previas.
Trampa frecuente: ¿Un sistema de MT puede ignorar divergencias estructurales?;Intuición: No, eso degradaría la calidad. Técnica: Debe modelar diferencias lingüísticas entre lenguas.
Comprensión estructural: ¿Cómo interactúan encoder y decoder en MT?;Intuición: Uno codifica el significado, el otro lo genera paso a paso. Técnica: El encoder produce representaciones contextuales que el decoder usa mediante cross-attention.
